Date,Open,High,Low,Close
28-August-2014,10108.67,10127.70,10078.83,10096.08,
1-September-2014,10127.42,10227.18,10126.92,10220.22,
2-September-2014,10233.37,10311.41,10232.79,10291.36,
3-September-2014,10330.54,10372.95,10313.10,10343.89,
4-September-2014,10344.73,10346.19,10261.60,10320.48,
5-September-2014,10335.99,10365.44,10278.45,10321.39,
8-September-2014,10364.58,10449.51,10364.58,10441.89,
9-September-2014,10450.59,10460.64,10408.10,10446.20,
10-September-2014,10435.02,10440.53,10372.14,10387.06,
11-September-2014,10421.66,10437.03,10363.61,10406.35,
12-September-2014,10426.05,10445.24,10397.23,10431.17,
15-September-2014,10413.08,10413.08,10347.83,10378.28,
16-September-2014,10391.91,10400.99,10165.65,10177.81,
17-September-2014,10228.71,10251.83,10160.68,10222.02,
18-September-2014,10224.68,10416.07,10187.79,10409.32,
19-September-2014,10425.54,10478.05,10385.76,10402.83,
22-September-2014,10379.88,10445.79,10344.88,10425.52,
23-September-2014,10441.18,10457.45,10242.30,10252.09,
24-September-2014,10269.15,10276.55,10135.46,10210.35,
25-September-2014,10230.92,10233.27,10024.12,10062.89,
26-September-2014,10050.43,10161.50,9972.19,10144.61,
29-September-2014,10170.14,10205.78,10127.93,10162.47,
30-September-2014,10168.20,10259.95,10125.67,10173.26,
1-October-2014,10189.01,10202.26,10138.84,10146.17,
7-October-2014,10132.31,10160.04,10024.17,10033.41,
8-October-2014,10025.08,10061.25,9986.60,10021.16,
9-October-2014,10067.89,10186.85,10067.78,10172.99,
10-October-2014,10138.17,10138.17,10028.72,10039.93,
13-October-2014,10035.87,10093.61,9972.24,10076.44,
14-October-2014,10118.24,10130.82,10022.95,10057.48,
16-October-2014,10033.59,10088.85,9853.35,9877.16,
17-October-2014,9873.23,9963.68,9840.84,9919.11,
20-October-2014,10030.66,10077.85,10015.28,10045.10,
21-October-2014,10083.55,10124.43,10054.57,10113.76,
22-October-2014,10176.83,10216.14,10176.59,10206.95,
23-October-2014,10253.35,10265.68,10243.59,10254.70,
27-October-2014,10286.69,10301.51,10205.71,10214.15,
28-October-2014,10225.25,10259.40,10212.94,10251.40,
29-October-2014,10288.30,10332.22,10282.82,10324.42,
30-October-2014,10332.47,10423.85,10325.16,10417.00,
31-October-2014,10448.72,10602.46,10448.72,10594.89,
3-November-2014,10628.58,10639.14,10585.96,10622.42,
5-November-2014,10643.50,10690.14,10625.09,10636.17,
7-November-2014,10641.63,10671.13,10583.35,10650.66,
10-November-2014,10671.07,10711.28,10621.55,10656.54,
11-November-2014,10675.78,10716.85,10645.60,10697.67,
12-November-2014,10717.64,10779.70,10717.12,10736.99,
13-November-2014,10758.38,10776.13,10659.78,10702.54,
14-November-2014,10708.56,10766.21,10700.98,10751.96,
17-November-2014,10749.74,10821.67,10727.13,10812.80,
18-November-2014,10824.81,10871.64,10810.83,10831.07,
19-November-2014,10845.52,10874.99,10739.55,10771.32,
20-November-2014,10797.03,10801.52,10724.41,10782.89,
21-November-2014,10803.55,10879.08,10792.60,10849.39,
24-November-2014,10882.07,10919.22,10867.88,10894.80,
25-November-2014,10902.04,10908.58,10737.69,10787.55,
26-November-2014,10780.23,10845.32,10767.11,10813.44,
27-November-2014,10817.55,10858.56,10807.08,10842.27,
28-November-2014,10865.28,10997.43,10864.05,10956.16,
1-December-2014,10978.89,11005.87,10921.76,10927.82,
2-December-2014,10916.32,10952.18,10875.64,10927.48,
3-December-2014,10941.95,11004.76,10938.74,10985.70,
4-December-2014,11037.02,11089.32,10980.78,11024.46,
5-December-2014,11038.69,11068.60,10973.15,10989.60,
8-December-2014,10987.10,11012.80,10860.55,10868.29,
9-December-2014,10871.04,10882.82,10714.87,10726.86,
10-December-2014,10708.36,10794.49,10707.70,10773.21,
11-December-2014,10768.99,10771.31,10667.22,10691.51,
12-December-2014,10706.09,10739.68,10581.59,10590.69,
15-December-2014,10529.04,10599.79,10513.24,10565.02,
16-December-2014,10522.97,10531.39,10320.68,10338.63,
17-December-2014,10322.58,10357.67,10154.40,10287.09,
18-December-2014,10400.82,10508.31,10394.71,10494.31,
19-December-2014,10549.37,10624.98,10545.57,10560.47,
22-December-2014,10592.00,10681.62,10574.72,10674.44,
23-December-2014,10684.20,10732.21,10594.46,10610.96,
24-December-2014,10622.29,10637.84,10518.27,10538.25,
26-December-2014,10546.46,10602.47,10505.75,10562.71,
29-December-2014,10579.71,10669.27,10579.66,10636.32,
30-December-2014,10662.61,10671.09,10622.32,10662.50,
31-December-2014,10654.19,10730.87,10651.47,10721.62,
1-January-2015,10720.05,10757.80,10697.79,10744.62,
2-January-2015,10752.12,10895.53,10752.06,10866.41,
5-January-2015,10894.60,10939.57,10836.45,10854.03,
6-January-2015,10812.48,10812.98,10521.55,10538.67,
7-January-2015,10539.01,10580.36,10457.44,10522.96,
8-January-2015,10609.89,10696.28,10609.89,10688.99,
9-January-2015,10737.32,10779.18,10648.66,10731.21,
12-January-2015,10756.82,10798.07,10699.89,10789.73,
13-January-2015,10805.59,10839.77,10728.86,10767.46,
14-January-2015,10774.03,10817.67,10705.43,10748.22,
15-January-2015,10902.12,11017.55,10879.30,10975.37,
16-January-2015,10970.48,11033.55,10939.52,11013.09,
19-January-2015,11053.71,11100.95,11053.36,11067.17,
20-January-2015,11093.03,11214.33,11092.77,11201.75,
21-January-2015,11224.29,11263.72,11188.01,11225.88,
22-January-2015,11250.56,11295.18,11226.22,11270.57,
23-January-2015,11336.40,11388.82,11296.22,11343.20,
27-January-2015,11394.87,11453.96,11347.21,11439.15,
28-January-2015,11442.99,11537.24,11408.67,11455.35,
29-January-2015,11446.24,11490.39,11402.21,11474.52,
30-January-2015,11529.97,11544.40,11302.01,11346.24,
2-February-2015,11348.93,11393.54,11306.88,11353.84,
3-February-2015,11393.78,11408.70,11278.73,11299.26,
4-February-2015,11343.55,11345.88,11231.80,11252.23,
5-February-2015,11264.62,11363.53,11170.04,11203.24,
6-February-2015,11217.70,11229.12,11108.03,11128.09,
9-February-2015,11083.38,11083.38,10947.55,10962.32,
10-February-2015,10936.22,11119.52,10899.34,11019.09,
11-February-2015,11053.28,11146.80,11051.78,11132.06,
12-February-2015,11177.33,11260.90,11130.78,11250.45,
13-February-2015,11287.75,11371.91,11278.53,11354.29,
16-February-2015,11387.88,11436.61,11333.11,11352.63,
18-February-2015,11361.60,11454.09,11360.74,11431.21,
19-February-2015,11470.78,11487.25,11340.38,11456.73,
20-February-2015,11465.20,11471.70,11379.78,11404.63,
23-February-2015,11439.54,11455.36,11280.59,11304.08,
24-February-2015,11320.12,11345.37,11264.08,11306.81,
25-February-2015,11346.70,11399.44,11287.00,11302.41,
26-February-2015,11316.33,11322.23,11183.30,11206.23,
27-February-2015,11245.33,11416.59,11245.23,11405.29,
28-February-2015,11469.49,11506.04,11276.18,11454.35,
2-March-2015,11511.99,11557.50,11451.92,11547.97,
3-March-2015,11567.55,11634.45,11535.23,11622.12,
4-March-2015,11729.32,11764.80,11502.88,11526.28,
5-March-2015,11547.93,11589.75,11465.87,11567.69,
9-March-2015,11532.58,11533.54,11346.12,11361.16,
10-March-2015,11390.38,11414.63,11276.92,11319.91,
11-March-2015,11333.62,11359.21,11275.98,11294.42,
12-March-2015,11347.03,11423.31,11346.24,11410.47,
13-March-2015,11478.89,11493.57,11226.87,11246.40,
16-March-2015,11263.86,11275.67,11196.24,11219.18,
17-March-2015,11272.57,11356.98,11231.18,11333.53,
18-March-2015,11350.40,11371.49,11290.77,11314.16,
19-March-2015,11377.52,11445.65,11229.18,11248.12,
20-March-2015,11252.30,11257.20,11124.22,11140.31,
23-March-2015,11162.66,11185.85,11076.72,11086.38,
24-March-2015,11094.29,11155.68,11061.12,11072.07,
25-March-2015,11091.29,11106.07,11026.57,11046.55,
26-March-2015,11000.39,11011.41,10832.45,10853.50,
27-March-2015,10907.19,10922.42,10733.92,10843.47,
30-March-2015,10903.44,11053.57,10902.89,11039.69,
31-March-2015,11081.58,11122.33,11007.80,11048.75,
1-April-2015,11048.98,11197.32,11034.38,11183.83,
6-April-2015,11216.63,11295.05,11185.29,11288.05,
7-April-2015,11318.35,11337.48,11228.06,11322.51,
8-April-2015,11355.68,11420.47,11355.63,11397.05,
9-April-2015,11452.86,11464.36,11361.73,11457.89,
10-April-2015,11468.23,11489.22,11436.31,11475.18,
13-April-2015,11503.13,11548.07,11482.89,11537.93,
15-April-2015,11558.74,11567.60,11418.40,11449.28,
16-April-2015,11476.03,11476.03,11304.98,11374.56,
17-April-2015,11384.60,11387.39,11225.52,11239.35,
20-April-2015,11267.64,11274.09,10985.41,11026.30,
21-April-2015,11017.43,11056.38,10920.75,10949.97,
22-April-2015,10980.54,11013.12,10832.58,10995.60,
23-April-2015,11030.04,11094.07,10932.18,10966.12,
24-April-2015,10982.31,10989.83,10777.88,10812.99,
27-April-2015,10851.87,10853.81,10634.15,10652.28,
28-April-2015,10657.79,10786.65,10613.36,10762.67,
29-April-2015,10779.07,10810.01,10708.82,10743.47,
30-April-2015,10747.99,10748.31,10642.47,10696.83,
4-May-2015,10763.48,10904.57,10755.44,10889.44,
5-May-2015,10913.81,10937.68,10850.90,10899.01,
6-May-2015,10906.56,10910.05,10570.95,10585.05,
7-May-2015,10587.13,10603.72,10411.97,10484.44,
8-May-2015,10561.30,10699.71,10561.24,10663.02,
11-May-2015,10712.77,10840.98,10712.10,10831.92,
12-May-2015,10836.24,10836.24,10585.91,10598.65,
13-May-2015,10648.65,10764.13,10579.25,10743.31,
14-May-2015,10753.34,10780.49,10645.01,10770.05,
15-May-2015,10783.25,10846.05,10775.09,10815.59,
18-May-2015,10847.59,10956.99,10841.52,10946.96,
19-May-2015,10943.33,11022.59,10916.39,10946.73,
20-May-2015,10982.55,11039.31,10981.79,11001.29,
21-May-2015,11015.19,11029.74,10950.73,10991.56,
22-May-2015,11002.42,11072.84,11000.52,11030.10,
25-May-2015,11014.38,11026.10,10944.90,10952.97,
26-May-2015,10953.90,10967.98,10894.06,10917.57,
27-May-2015,10876.84,10919.49,10844.35,10910.13,
28-May-2015,10928.57,10947.42,10822.34,10881.02,
29-May-2015,10894.57,11033.03,10878.00,11023.76,
1-June-2015,11003.38,11054.86,10992.11,11010.14,
2-June-2015,11026.25,11031.61,10756.68,10767.95,
3-June-2015,10784.68,10795.50,10523.11,10611.33,
4-June-2015,10643.18,10647.27,10519.32,10613.01,
5-June-2015,10612.27,10687.69,10578.36,10604.43,
8-June-2015,10620.74,10622.69,10469.30,10487.09,
9-June-2015,10481.19,10511.72,10436.13,10463.36,
10-June-2015,10480.68,10620.68,10475.43,10588.08,
11-June-2015,10631.89,10647.60,10392.12,10399.76,
12-June-2015,10385.50,10423.97,10354.81,10409.55,
15-June-2015,10431.07,10499.93,10381.72,10447.34,
16-June-2015,10449.38,10498.93,10372.02,10484.63,
17-June-2015,10522.03,10616.49,10504.70,10566.16,
18-June-2015,10591.58,10684.84,10589.98,10669.66,
19-June-2015,10701.03,10765.87,10699.81,10739.35,
22-June-2015,10773.20,10909.61,10773.08,10897.09,
23-June-2015,10913.94,10967.32,10882.36,10933.84,
24-June-2015,10949.11,10976.74,10862.55,10888.86,
25-June-2015,10873.42,10958.10,10863.24,10940.28,
26-June-2015,10936.32,10949.49,10866.37,10921.29,
29-June-2015,10792.05,10831.08,10675.33,10821.71,
30-June-2015,10819.57,10911.63,10814.46,10903.53,
1-July-2015,10920.36,11048.92,10920.26,11020.74,
2-July-2015,11057.40,11085.32,11023.44,11035.32,
3-July-2015,11045.96,11110.71,11031.62,11069.14,
6-July-2015,10990.80,11141.57,10952.08,11133.39,
7-July-2015,11148.22,11196.41,11103.82,11144.72,
8-July-2015,11090.95,11097.94,10936.25,10970.16,
9-July-2015,10976.70,11023.49,10916.68,10927.85,
10-July-2015,10970.46,10998.10,10912.86,10959.29,
13-July-2015,10988.21,11098.98,10969.63,11088.66,
14-July-2015,11107.48,11130.29,11070.71,11091.15,
15-July-2015,11118.27,11181.11,11113.68,11165.91,
16-July-2015,11193.37,11283.84,11192.61,11274.17,
17-July-2015,11292.50,11327.42,11267.46,11292.97,
20-July-2015,11316.98,11318.19,11254.04,11299.64,
21-July-2015,11291.58,11328.79,11156.88,11172.44,
22-July-2015,11168.22,11303.88,11145.63,11296.73,
23-July-2015,11315.77,11340.45,11251.61,11269.09,
24-July-2015,11276.28,11279.23,11171.66,11182.00,
27-July-2015,11181.53,11181.53,10992.06,11000.06,
28-July-2015,11027.72,11044.72,10956.12,10965.28,
29-July-2015,10996.03,11029.98,10984.04,11024.61,
30-July-2015,11062.46,11141.64,11054.19,11098.12,
31-July-2015,11127.62,11251.28,11127.61,11233.42,
3-August-2015,11238.20,11304.39,11231.38,11269.46,
4-August-2015,11289.87,11316.11,11193.30,11286.15,
5-August-2015,11319.71,11402.97,11319.61,11362.72,
6-August-2015,11388.10,11410.21,11343.06,11386.34,
7-August-2015,11397.49,11410.07,11345.35,11358.74,
10-August-2015,11374.78,11438.18,11283.80,11311.96,
11-August-2015,11345.97,11349.58,11189.94,11218.63,
12-August-2015,11217.53,11217.94,11024.09,11034.29,
13-August-2015,11075.13,11154.95,11000.70,11022.58,
14-August-2015,11066.47,11247.05,11061.73,11236.11,
17-August-2015,11251.89,11259.18,11133.36,11207.30,
18-August-2015,11236.09,11288.98,11176.28,11220.07,
19-August-2015,11233.13,11292.25,11179.86,11248.58,
20-August-2015,11262.24,11266.71,11073.73,11082.89,
21-August-2015,11011.44,11012.74,10882.37,10991.16,
24-August-2015,10742.57,10742.57,10221.71,10257.84,
25-August-2015,10304.24,10430.90,10031.72,10386.83,
26-August-2015,10397.77,10459.01,10246.68,10292.53,
27-August-2015,10436.15,10537.79,10402.23,10522.41,
28-August-2015,10621.17,10698.12,10521.94,10569.62,
31-August-2015,10593.03,10628.80,10506.71,10536.38,
1-September-2015,10480.25,10491.54,10248.19,10302.72,
2-September-2015,10366.28,10387.47,10214.05,10232.99,
3-September-2015,10287.39,10394.85,10286.55,10365.30,
4-September-2015,10367.57,10368.30,10097.70,10143.89,
7-September-2015,10172.94,10205.17,9977.77,9990.31,
8-September-2015,10014.27,10167.62,9931.88,10126.13,
9-September-2015,10245.55,10339.26,10239.66,10299.42,
10-September-2015,10220.98,10312.30,10114.21,10277.74,
11-September-2015,10330.04,10377.51,10250.11,10281.36,
14-September-2015,10312.60,10406.20,10277.97,10395.72,
15-September-2015,10414.56,10424.43,10310.11,10331.94,
16-September-2015,10389.03,10411.03,10348.21,10381.76,
18-September-2015,10437.74,10577.34,10437.74,10490.92,
21-September-2015,10461.52,10522.25,10412.05,10508.13,
22-September-2015,10540.04,10573.87,10287.19,10314.31,
23-September-2015,10263.16,10398.41,10205.98,10364.89,
24-September-2015,10366.18,10422.18,10324.66,10390.73,
28-September-2015,10413.70,10427.12,10307.44,10314.88,
29-September-2015,10271.04,10442.12,10171.80,10354.79,
30-September-2015,10418.36,10505.91,10409.59,10498.27,
1-October-2015,10551.05,10581.11,10495.71,10513.83,
5-October-2015,10566.69,10734.89,10565.79,10723.96,
6-October-2015,10784.45,10796.22,10713.25,10773.18,
7-October-2015,10787.62,10821.00,10760.65,10802.85,
8-October-2015,10828.72,10830.17,10710.69,10739.65,
9-October-2015,10785.62,10858.44,10740.62,10789.44,
12-October-2015,10834.30,10859.07,10729.81,10751.99,
13-October-2015,10748.60,10768.65,10689.10,10741.08,
14-October-2015,10723.78,10766.12,10711.95,10722.73,
15-October-2015,10745.97,10817.45,10744.88,10804.62,
16-October-2015,10826.60,10874.33,10774.19,10865.39,
19-October-2015,10890.97,10924.79,10875.98,10918.52,
20-October-2015,10936.05,10964.06,10880.59,10919.76,
21-October-2015,10923.60,10963.53,10859.95,10900.05,
23-October-2015,10960.67,10994.76,10916.41,10928.03,
26-October-2015,10958.22,10972.06,10868.81,10878.35,
27-October-2015,10862.72,10870.07,10840.91,10859.04,
28-October-2015,10828.60,10849.79,10750.14,10794.93,
29-October-2015,10806.58,10810.82,10716.73,10727.89,
30-October-2015,10741.94,10775.87,10646.29,10671.58,
2-November-2015,10674.82,10681.25,10583.77,10654.82,
3-November-2015,10694.67,10726.00,10647.66,10675.86,
4-November-2015,10718.61,10747.69,10644.74,10658.12,
5-November-2015,10659.34,10659.34,10519.29,10535.37,
6-November-2015,10534.21,10583.71,10482.40,10510.58,
9-November-2015,10360.99,10526.18,10288.35,10498.78,
10-November-2015,10489.21,10489.21,10327.23,10339.49,
11-November-2015,10418.41,10428.98,10409.13,10418.07,
13-November-2015,10373.77,10373.77,10283.74,10321.20,
16-November-2015,10314.60,10398.20,10264.44,10363.57,
17-November-2015,10405.07,10430.93,10357.31,10407.41,
18-November-2015,10405.46,10432.25,10283.57,10295.41,
19-November-2015,10344.90,10447.11,10344.86,10434.25,
20-November-2015,10439.83,10522.96,10426.98,10464.00,
23-November-2015,10494.64,10511.50,10446.71,10469.75,
24-November-2015,10465.17,10502.10,10443.99,10459.54,
26-November-2015,10462.78,10530.80,10462.78,10516.86,
27-November-2015,10535.71,10590.88,10517.35,10573.65,
30-November-2015,10583.16,10611.31,10570.56,10580.88,
1-December-2015,10602.87,10632.82,10590.57,10611.64,
2-December-2015,10634.73,10646.36,10566.84,10595.76,
3-December-2015,10597.42,10597.42,10504.29,10516.57,
4-December-2015,10492.43,10492.43,10412.49,10418.90,
7-December-2015,10456.41,10479.38,10389.89,10406.15,
8-December-2015,10393.25,10417.75,10288.16,10306.51,
9-December-2015,10305.64,10306.27,10154.75,10162.83,
10-December-2015,10195.06,10264.21,10156.63,10255.39,
11-December-2015,10270.51,10280.47,10121.63,10161.21,
14-December-2015,10132.11,10230.07,10110.55,10212.44,
15-December-2015,10228.35,10281.44,10196.99,10274.89,
16-December-2015,10306.60,10378.28,10305.27,10333.52,
17-December-2015,10370.75,10477.86,10342.73,10469.47,
18-December-2015,10459.31,10474.67,10382.83,10396.61,
21-December-2015,10377.78,10484.36,10375.03,10476.69,
22-December-2015,10481.52,10510.53,10409.57,10431.51,
23-December-2015,10461.66,10525.91,10461.01,10516.26,
24-December-2015,10535.30,10547.86,10498.18,10527.28,
28-December-2015,10540.76,10602.38,10540.25,10587.03,
29-December-2015,10602.66,10625.01,10573.89,10603.01,
30-December-2015,10619.19,10627.28,10568.29,10575.91,
31-December-2015,10589.65,10640.38,10580.84,10634.22,
1-January-2016,10633.25,10691.89,10610.80,10680.48,
4-January-2016,10672.75,10679.72,10474.77,10491.53,
5-January-2016,10526.51,10545.92,10464.69,10506.40,
6-January-2016,10522.92,10539.77,10431.75,10451.93,
7-January-2016,10389.34,10389.34,10183.96,10195.66,
8-January-2016,10235.73,10304.86,10232.38,10266.94,
11-January-2016,10216.62,10267.38,10121.99,10210.27,
12-January-2016,10226.17,10241.37,10111.45,10133.50,
13-January-2016,10176.07,10230.01,9949.86,10142.07,
14-January-2016,10056.78,10175.63,9971.15,10082.75,
15-January-2016,10119.18,10130.90,9890.41,9898.08,
18-January-2016,9883.50,9916.18,9703.19,9718.10,
19-January-2016,9747.01,9866.75,9722.37,9838.73,
20-January-2016,9782.65,9782.65,9567.77,9663.85,
21-January-2016,9713.50,9799.18,9592.67,9634.83,
22-January-2016,9687.59,9836.76,9687.58,9826.13,
25-January-2016,9872.65,9924.18,9844.65,9854.65,
27-January-2016,9900.65,9915.69,9838.66,9867.50,
28-January-2016,9869.49,9900.34,9844.65,9855.03,
29-January-2016,9831.05,10027.93,9829.30,10014.03,
1-February-2016,10061.42,10077.14,10004.81,10020.70,
2-February-2016,10033.84,10056.88,9856.71,9885.58,
3-February-2016,9821.71,9821.71,9729.81,9741.68,
4-February-2016,9801.71,9855.34,9719.29,9771.22,
5-February-2016,9786.18,9922.70,9778.84,9904.23,
8-February-2016,9919.17,9959.02,9784.78,9810.41,
9-February-2016,9746.26,9746.26,9660.94,9678.93,
10-February-2016,9661.82,9661.82,9511.51,9564.38,
11-February-2016,9559.94,9560.00,9211.57,9228.94,
12-February-2016,9264.83,9283.17,9033.07,9215.17,
15-February-2016,9309.14,9501.17,9307.73,9472.97,
16-February-2016,9519.67,9524.75,9292.81,9301.73,
17-February-2016,9312.14,9385.16,9163.24,9365.01,
18-February-2016,9426.35,9506.58,9379.08,9457.66,
19-February-2016,9454.48,9494.12,9410.43,9476.53,
22-February-2016,9509.28,9536.76,9482.10,9517.77,
23-February-2016,9540.48,9540.56,9354.95,9370.97,
24-February-2016,9351.41,9352.52,9247.94,9258.04,
25-February-2016,9268.14,9273.03,9178.81,9187.97,
26-February-2016,9247.60,9285.35,9189.30,9239.56,
29-February-2016,9266.59,9318.91,9011.98,9206.02,
1-March-2016,9243.88,9512.00,9239.71,9499.91,
2-March-2016,9589.66,9707.90,9589.66,9685.99,
3-March-2016,9737.23,9821.80,9725.99,9811.57,
4-March-2016,9839.75,9867.40,9786.00,9851.02,
8-March-2016,9857.67,9914.03,9802.06,9856.11,
9-March-2016,9821.12,9914.95,9778.59,9906.77,
10-March-2016,9924.62,9929.17,9814.82,9854.27,
11-March-2016,9854.19,9926.86,9823.38,9876.11,
14-March-2016,9911.48,9969.63,9884.59,9911.06,
15-March-2016,9922.68,9925.81,9813.30,9826.31,
16-March-2016,9826.34,9854.19,9734.07,9847.12,
17-March-2016,9905.81,9956.47,9834.56,9868.01,
18-March-2016,9888.99,9982.02,9869.72,9973.19,
21-March-2016,9996.26,10118.21,9992.38,10108.15,
22-March-2016,10128.86,10146.06,10043.22,10131.23,
23-March-2016,10132.86,10148.06,10086.90,10138.16,
28-March-2016,10160.21,10165.08,9972.26,9998.79,
29-March-2016,10002.10,10037.83,9948.57,9979.78,
30-March-2016,10038.13,10163.36,10038.13,10158.03,
31-March-2016,10171.06,10211.26,10137.41,10185.12,
1-April-2016,10181.87,10208.54,10127.82,10179.64,
4-April-2016,10206.57,10237.62,10172.52,10232.62,
5-April-2016,10226.90,10226.90,10030.62,10044.97,
6-April-2016,10074.31,10086.77,10035.54,10075.66,
7-April-2016,10107.65,10110.60,9989.36,10002.64,
8-April-2016,9999.03,10038.90,9980.36,10028.48,
11-April-2016,10059.84,10162.54,9993.33,10155.41,
12-April-2016,10168.93,10232.16,10160.18,10220.01,
13-April-2016,10289.52,10405.20,10289.12,10382.73,
